Field,ID,Type (Type),default,en-us,ru-ru,ru
Description,2,Text,,"Simple & secure bitcoin wallet with elements of the Fluent Design.
- No registration for using.
- Fluent design.
- Off-line keys generation.
- App's data are encrypted on disk and in memory.
- Bitcoin payment protocol support.
- QR codes generation & scanning.
- Network fee policy selection.
- Wallets importing & exporting.
- Main & Test networks are supported.
- Segwit (Bech32)
- BIP44.

More is comming.","Простой и безопастный биткоин кошелёк с элементами Fluent Design.
- Для использования не требуется регистрация.
- Fluent Design.
- Офлайн генерация ключей.
- Данные приложения зашифрованы при хранении на диске и в памяти.
- Поддержка протокола оплаты биткоин.
- Генерация и сканирование QR кодов.
- Импорт и экспорт кошельков.
- Поддеркжа основной и тестовой сети.
- Segwit (Bech32)
- BIP44.

Ещё больше возможностей скоро.","Простой и безопастный биткоин кошелёк с элементами Fluent Design.
- Для использования не требуется регистрация.
- Fluent Design.
- Офлайн генерация ключей.
- Данные приложения зашифрованы при хранении на диске и в памяти.
- Поддержка протокола оплаты биткоин.
- Генерация и сканирование QR кодов.
- Импорт и экспорт кошельков.
- Поддеркжа основной и тестовой сети.
- Segwit (Bech32)
- BIP44.

Ещё больше возможностей скоро."
ReleaseNotes,3,Text,,"1.85.0.0:
- Added BIP32 address for tracking.
- Added exporting root public key WIF (BIP32).

1.84.0.0:
- Added option to share public addresses to a CSV file.

1.83.0.0:
- Added application log & telemetry management.

1.82.0.0:
- Improved performance on getting transactions.
- Fixed bugs.

1.81.0.0:
- Added accumulated sum column to the coins page.
- Added removing wallet option.
- Fixed transactions order bug.

1.80.0.0:
- Added send between wallets page.
- Fixed frozen balance bug.
- Fixed opening advanced settings page crash.

1.79.0.0:
- Fixed bugs.

1.78.0.0:
- Improved performance.
- Fixed bugs.

1.77.0.0:
- Improved performance for BIP44.

1.76.0.0:
- Added wallet options auto-detection.
- Added BIP44 support.

1.75.0.0:
- Added cache to improve app's responsiveness.

1.74.0.0:
- Addresses page added.

1.73.0.0:
- Added Segwit (Bech32) transaction address type for a wallet. It improves transaction security & speed while reduces the fee.

1.72.0.0:
- Coins page added.

1.71.0.0:
- Fix generating mnemonic bug.
- Fix adding an address for tracking with space at the end bug.
- Update backend service.

1.70.0.0:
- The exchange rate added to the alternative currency page.","1.85.0.0:
- Добавлена поддержка отслеживания кошельков в формате BIP32.
- Добавлена поддержка экспорта публичкого ключа кошелька в формате WIF (BIP32).

1.84.0.0:
- Добавлена возможность делиться общедоступными адресами в CSV-файле.

1.83.0.0:
- Добавлено управление журналом приложения и телеметрией.

1.82.0.0:
- Улучшена производительность при получении транзакций.
- Исправлены ошибки.

1.81.0.0:
- Добавлен столбец накопленной суммы на страницу монет.
- Добавлена опция удаления кошелька.
- Исправлена ошибка порядка сортировки транзакций.

1.80.0.0:
- Добавлена страница отправки между кошельками.
- Исправлена ошибка с замороженным балансом.
- Исправлена ошибка при открытии страницы дополнительных настроек.

1.79.0.0:
- Исправлены ошибки.

1.78.0.0:
- Улучшена производительность.
- Исправлены ошибки.

1.77.0.0:
- Улучшена производительность при работе с BIP44.

1.76.0.0:
- Добавлено автоматическое определение параметров кошелька.
- Добавлена поддержка BIP44.

1.75.0.0:
- Добавлен кэш для улучшения отзывчивости приложения.

1.74.0.0:
Добавлена страница адресов.

1.73.0.0:
- Добавлен тип адреса транзакции Segwit (Bech32) для кошелька. Это повышает безопасность и скорость транзакций, а также снижает комиссию.

1.72.0.0:
- Добавлена страница монет.

1.71.0.0:
- Исправлена ошибка генерации мнемоники.
- Исправлена ошибка добавления адреса для отслеживания с пробелом в конце.
- Обновление серверной службы.

1.70.0.0:
- Обменный курс добавлен на страницу альтернативная валюты.","1.85.0.0:
- Добавлена поддержка отслеживания кошельков в формате BIP32.
- Добавлена поддержка экспорта публичкого ключа кошелька в формате WIF (BIP32).

1.84.0.0:
- Добавлена возможность делиться общедоступными адресами в CSV-файле.

1.83.0.0:
- Добавлено управление журналом приложения и телеметрией.

1.82.0.0:
- Улучшена производительность при получении транзакций.
- Исправлены ошибки.

1.81.0.0:
- Добавлен столбец накопленной суммы на страницу монет.
- Добавлена опция удаления кошелька.
- Исправлена ошибка порядка сортировки транзакций.

1.80.0.0:
- Добавлена страница отправки между кошельками.
- Исправлена ошибка с замороженным балансом.
- Исправлена ошибка при открытии страницы дополнительных настроек.

1.79.0.0:
- Исправлены ошибки.

1.78.0.0:
- Улучшена производительность.
- Исправлены ошибки.

1.77.0.0:
- Улучшена производительность при работе с BIP44.

1.76.0.0:
- Добавлено автоматическое определение параметров кошелька.
- Добавлена поддержка BIP44.

1.75.0.0:
- Добавлен кэш для улучшения отзывчивости приложения.

1.74.0.0:
Добавлена страница адресов.

1.73.0.0:
- Добавлен тип адреса транзакции Segwit (Bech32) для кошелька. Это повышает безопасность и скорость транзакций, а также снижает комиссию.

1.72.0.0:
- Добавлена страница монет.

1.71.0.0:
- Исправлена ошибка генерации мнемоники.
- Исправлена ошибка добавления адреса для отслеживания с пробелом в конце.
- Обновление серверной службы.

1.70.0.0:
- Обменный курс добавлен на страницу альтернативная валюты."
Title,4,Text,,MyBitcoinWallet,MyBitcoinWallet,MyBitcoinWallet
ShortTitle,5,Text,,,,
SortTitle,6,Text,,,,
VoiceTitle,7,Text,,,,
ShortDescription,8,Text,,,,
DevStudio,9,Text,,Panteam,Пантим,Пантим
CopyrightTrademarkInformation,12,Text,,Panteam,Пантим,Пантим
AdditionalLicenseTerms,13,Text,,,,
DesktopScreenshot1,100,Relative path (or URL to file in Partner Center),,MyBitcoinWallet/En_01_Wallets.png,MyBitcoinWallet/Ru_01_Wallets.png,MyBitcoinWallet/Ru_01_Wallets.png
DesktopScreenshot2,101,Relative path (or URL to file in Partner Center),,MyBitcoinWallet/En_02_AddNewWalletsPage.png,MyBitcoinWallet/Ru_02_AddNewWalletsPage.png,MyBitcoinWallet/Ru_02_AddNewWalletsPage.png
DesktopScreenshot3,102,Relative path (or URL to file in Partner Center),,MyBitcoinWallet/En_03_GeneratingPrivateKey.png,MyBitcoinWallet/Ru_03_GeneratingPrivateKey.png,MyBitcoinWallet/Ru_03_GeneratingPrivateKey.png
DesktopScreenshot4,103,Relative path (or URL to file in Partner Center),,MyBitcoinWallet/En_04_ImportingWallet.png,MyBitcoinWallet/Ru_04_ImportingWallet.png,MyBitcoinWallet/Ru_04_ImportingWallet.png
DesktopScreenshot5,104,Relative path (or URL to file in Partner Center),,MyBitcoinWallet/En_05_AddingAddressForTracking.png,MyBitcoinWallet/Ru_05_AddingAddressForTracking.png,MyBitcoinWallet/Ru_05_AddingAddressForTracking.png
DesktopScreenshot6,105,Relative path (or URL to file in Partner Center),,MyBitcoinWallet/En_06_Wallet.png,MyBitcoinWallet/Ru_06_Wallet.png,MyBitcoinWallet/Ru_06_Wallet.png
DesktopScreenshot7,106,Relative path (or URL to file in Partner Center),,MyBitcoinWallet/En_07_TransactionDetails.png,MyBitcoinWallet/Ru_07_TransactionDetails.png,MyBitcoinWallet/Ru_07_TransactionDetails.png
DesktopScreenshot8,107,Relative path (or URL to file in Partner Center),,MyBitcoinWallet/En_08_Receiving.png,MyBitcoinWallet/Ru_08_Receiving.png,MyBitcoinWallet/Ru_08_Receiving.png
DesktopScreenshot9,108,Relative path (or URL to file in Partner Center),,MyBitcoinWallet/En_09_Sending.png,MyBitcoinWallet/Ru_09_Sending.png,MyBitcoinWallet/Ru_09_Sending.png
DesktopScreenshot10,109,Relative path (or URL to file in Partner Center),,MyBitcoinWallet/En_10_SettingsTab.png,MyBitcoinWallet/Ru_10_SettingsTab.png,MyBitcoinWallet/Ru_10_SettingsTab.png
DesktopScreenshotCaption1,150,Text,,Many wallets in the one app,Множество кошельков в одном приложении,Множество кошельков в одном приложении
DesktopScreenshotCaption2,151,Text,,"Adding, importing, tracking, buying in the one app","Добавление, импорт, отслеживание, покупка все в одном приложении","Добавление, импорт, отслеживание, покупка все в одном приложении"
DesktopScreenshotCaption3,152,Text,,Offline private key generation & storing in secure storage,Офлайн генерация закрытого ключа и сохранение в защищённом хранилище,Офлайн генерация закрытого ключа и сохранение в защищённом хранилище
